seriesCode,value_2025
gci11_Lonline,0.9999999999993665
gci11_Lforgery,0.9263672619702313
gci11_Lolsafety,0.9982918341904492
gci12_Rpdp,0.9600115697339394
gci12_Rprivacy,0.9902617551049562
gci12_Rnotif,0.9999939968692777
gci12_RAuditre,0.9999495449334397
gci12_Rstandard,0.9991256788892642
gci12_Rsign,0.9971073436020756
gci12_Rspam,0.563746554181362
gci12_Rciip,0.8688729386848136
gci12_Rcop,0.7542446072616167
gci21_NatCsirt,0.9999999650302207
gci21_Nactivity,0.999999903143142
gci21_Nfirst,0.9999999999102062
gci21_NregCisrt,0.9999999655034466
gci22_Scsirt,0.999999995009892
gci22_Sactivity,0.9999999920168693
gci23_FStandard,0.8668382591738331
gci23_Fciip,0.9601156029128591
gci31_Nstrategy,0.530645213565791
gci31_Npriority,0.991304541796035
gci32_Acyber,0.9999986241812928
gci32_Aciip,0.8402909411672284
gci32_Acapacity,0.9876061083355482
gci32_Acop,0.9023637563037156
gci33_Maudit,0.9592724782067198
gci33_Mrisk,0.742224791218733
gci33_Mmaturity,0.9354152719130332
gci34_Copstrategy,0.7335298357595517
gci34_Copreporting,0.7469302873128594
gci41_AWmsme,0.9997569201466657
gci41_AWprivate,0.9999999943987712
gci41_AWpublic,0.9999999999891639
gci41_AWsociety,0.9999999999907807
gci41_AWgeneral,0.9999999976190179
gci41_AWelderly,0.9999999909032303
gci41_AWdisability,0.9999998039249175
gci41_AWcop,0.9995715691097605
gci41_AWchildren,0.998626332218957
gci42_Tprofessional,0.9999999980883143
gci42_Tacreditation,0.9999999988980032
gci42_Tsector,0.9999999860650272
gci43_Cprimary,0.4052080077230634
gci43_Csecondary,0.4584089694279641
gci43_Chigher,0.9605486334210852
gci44_Rndprivate,0.989908934287508
gci44_Rndpublic,0.7236581372373159
gci44_RndAcademic,0.9828285056762361
gci44_Evalscheme,0.9988215880839637
gci45_Dindustry,0.9989524017847732
gci45_Dassociation,0.8372811884101751
gci46_Icapacitydev,0.9930908363212448
gci46_Iindustry,0.9328700113081005
gci46_Irnd,0.7219746635506334
gci51_Bcountry,0.9999999996204396
gci51_Bregintl,1.0
gci52_Minfosharing,0.9999999950652088
gci52_Mcapacitydev,0.9999999768512384
gci53_Mlat,0.727194537688115
gci54_PPPdomestic,0.5480991925849414
gci54_PPPforeign,0.9726783550698967
gci55_Coordination,0.9569662498328583
