seriesCode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
gci31_Nstrategy,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000
gci31_Npriority,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000
gci32_Acyber,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11
gci32_Aciip,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000
gci32_Acapacity,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000
gci32_Acop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci33_Maudit,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000
gci33_Mrisk,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000
gci33_Mmaturity,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000,6467040000
gci34_Copstrategy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci34_Copreporting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci41_AWmsme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci41_AWprivate,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000,78557000
gci41_AWpublic,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000,1042307000
gci41_AWsociety,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000,145358000
gci41_AWgeneral,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000,3983644000
gci41_AWelderly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci41_AWdisability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci41_AWcop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci41_AWchildren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci42_Tprofessional,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000,11380745000
gci42_Tacreditation,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000,1580213000
gci42_Tsector,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000,1247784000
gci43_Cprimary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci43_Csecondary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci43_Chigher,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000,7908462000
gci44_Rndprivate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci44_Rndpublic,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000,104141000
gci44_RndAcademic,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000,2515303000
gci44_Evalscheme,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000,7431375000
