seriesCode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
gci12_Rciip,4225000.0,4225000.0,4225000.0,4225000.0,4225000.0,4225000.0,4225000.0,4225000.0,4225000.0,4225000.0,4225000.0,4225000.0,639364000.0,639364000.0,639364000.0,639364000.0,639364000.0,639364000.0,639364000.0,639364000.0,639364000.0,639364000.0,639364000.0,639364000.0,1055285000,1055285000,1055285000,1055285000,1055285000,1055285000,1055285000,1055285000,1055285000,1055285000,1055285000,1055285000,1491054000,1491054000,1491054000,1491054000,1491054000,1491054000,1491054000,1491054000,1491054000,1491054000,1491054000,1491054000,485387000.0,485387000.0,485387000.0,485387000.0,485387000.0,485387000.0,485387000.0,485387000.0,485387000.0,485387000.0,485387000.0,485387000.0
gci12_Rcop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gci21_NatCsirt,398000000000.0,398000000000.0,398000000000.0,398000000000.0,398000000000.0,398000000000.0,398000000000.0,398000000000.0,398000000000.0,398000000000.0,398000000000.0,398000000000.0,611000000000.0,611000000000.0,611000000000.0,611000000000.0,611000000000.0,611000000000.0,611000000000.0,611000000000.0,611000000000.0,611000000000.0,611000000000.0,611000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,541485000,541485000,541485000,541485000,541485000,541485000,541485000,541485000,541485000,541485000,541485000,541485000,97649469000.0,97649469000.0,97649469000.0,97649469000.0,97649469000.0,97649469000.0,97649469000.0,97649469000.0,97649469000.0,97649469000.0,97649469000.0,97649469000.0
gci21_Nactivity,6402351000.0,6402351000.0,6402351000.0,6402351000.0,6402351000.0,6402351000.0,6402351000.0,6402351000.0,6402351000.0,6402351000.0,6402351000.0,6402351000.0,8194056000.0,8194056000.0,8194056000.0,8194056000.0,8194056000.0,8194056000.0,8194056000.0,8194056000.0,8194056000.0,8194056000.0,8194056000.0,8194056000.0,16867804000,16867804000,16867804000,16867804000,16867804000,16867804000,16867804000,16867804000,16867804000,16867804000,16867804000,16867804000,10283142000,10283142000,10283142000,10283142000,10283142000,10283142000,10283142000,10283142000,10283142000,10283142000,10283142000,10283142000,128000000000.0,128000000000.0,128000000000.0,128000000000.0,128000000000.0,128000000000.0,128000000000.0,128000000000.0,128000000000.0,128000000000.0,128000000000.0,128000000000.0
gci21_Nfirst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253172000,253172000,253172000,253172000,253172000,253172000,253172000,253172000,253172000,253172000,253172000,253172000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gci21_NregCisrt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gci22_Scsirt,2527392000.0,2527392000.0,2527392000.0,2527392000.0,2527392000.0,2527392000.0,2527392000.0,2527392000.0,2527392000.0,2527392000.0,2527392000.0,2527392000.0,6301340000.0,6301340000.0,6301340000.0,6301340000.0,6301340000.0,6301340000.0,6301340000.0,6301340000.0,6301340000.0,6301340000.0,6301340000.0,6301340000.0,6754628000,6754628000,6754628000,6754628000,6754628000,6754628000,6754628000,6754628000,6754628000,6754628000,6754628000,6754628000,5306004000,5306004000,5306004000,5306004000,5306004000,5306004000,5306004000,5306004000,5306004000,5306004000,5306004000,5306004000,4552570000.0,4552570000.0,4552570000.0,4552570000.0,4552570000.0,4552570000.0,4552570000.0,4552570000.0,4552570000.0,4552570000.0,4552570000.0,4552570000.0
gci22_Sactivity,751210000.0,751210000.0,751210000.0,751210000.0,751210000.0,751210000.0,751210000.0,751210000.0,751210000.0,751210000.0,751210000.0,751210000.0,5012255000.0,5012255000.0,5012255000.0,5012255000.0,5012255000.0,5012255000.0,5012255000.0,5012255000.0,5012255000.0,5012255000.0,5012255000.0,5012255000.0,4951317000,4951317000,4951317000,4951317000,4951317000,4951317000,4951317000,4951317000,4951317000,4951317000,4951317000,4951317000,3024547000,3024547000,3024547000,3024547000,3024547000,3024547000,3024547000,3024547000,3024547000,3024547000,3024547000,3024547000,3349859000.0,3349859000.0,3349859000.0,3349859000.0,3349859000.0,3349859000.0,3349859000.0,3349859000.0,3349859000.0,3349859000.0,3349859000.0,3349859000.0
gci23_FStandard,1375720000.0,1375720000.0,1375720000.0,1375720000.0,1375720000.0,1375720000.0,1375720000.0,1375720000.0,1375720000.0,1375720000.0,1375720000.0,1375720000.0,1381168000.0,1381168000.0,1381168000.0,1381168000.0,1381168000.0,1381168000.0,1381168000.0,1381168000.0,1381168000.0,1381168000.0,1381168000.0,1381168000.0,128964000,128964000,128964000,128964000,128964000,128964000,128964000,128964000,128964000,128964000,128964000,128964000,105892000,105892000,105892000,105892000,105892000,105892000,105892000,105892000,105892000,105892000,105892000,105892000,827591000.0,827591000.0,827591000.0,827591000.0,827591000.0,827591000.0,827591000.0,827591000.0,827591000.0,827591000.0,827591000.0,827591000.0
gci23_Fciip,825972000.0,825972000.0,825972000.0,825972000.0,825972000.0,825972000.0,825972000.0,825972000.0,825972000.0,825972000.0,825972000.0,825972000.0,405347000.0,405347000.0,405347000.0,405347000.0,405347000.0,405347000.0,405347000.0,405347000.0,405347000.0,405347000.0,405347000.0,405347000.0,486305000,486305000,486305000,486305000,486305000,486305000,486305000,486305000,486305000,486305000,486305000,486305000,1384931000,1384931000,1384931000,1384931000,1384931000,1384931000,1384931000,1384931000,1384931000,1384931000,1384931000,1384931000,445523000.0,445523000.0,445523000.0,445523000.0,445523000.0,445523000.0,445523000.0,445523000.0,445523000.0,445523000.0,445523000.0,445523000.0
