origin,destination,weight
gci11_Lolsafety,gci42_Tacreditation,0.9900629128484024
gci11_Lolsafety,gci42_Tsector,0.9900629104087754
gci11_Lolsafety,gci43_Cprimary,0.9900629134655038
gci11_Lolsafety,gci43_Csecondary,0.99006291349452
gci11_Lolsafety,gci43_Chigher,0.9978573095465241
gci11_Lolsafety,gci44_Evalscheme,0.9922974003966643
gci11_Lolsafety,gci52_Mcapacitydev,-0.9999999735737131
gci11_Lolsafety,gci53_Mlat,-0.9997072984187072
gci11_Lolsafety,gci54_PPPdomestic,-0.9964486011745343
gci11_Lolsafety,gci54_PPPforeign,-0.9999363551810181
gci12_Rpdp,gci11_Lonline,0.9959682707176083
gci12_Rpdp,gci11_Lforgery,-0.995727239685643
gci12_Rpdp,gci11_Lolsafety,-0.9997205118626615
gci12_Rpdp,gci12_Rstandard,-0.9880554518988611
gci12_Rpdp,gci12_Rsign,-0.998379789768645
gci12_Rpdp,gci12_Rspam,-0.9880554621218192
gci12_Rpdp,gci12_Rcop,-0.9922148302497658
gci12_Rpdp,gci21_NatCsirt,-0.9991462334527043
gci12_Rpdp,gci21_Nactivity,-0.9990250990078989
gci12_Rpdp,gci21_Nfirst,-0.9978345998117225
gci12_Rpdp,gci21_NregCisrt,-0.9944030060393217
gci12_Rpdp,gci22_Scsirt,0.9990436383856437
gci12_Rpdp,gci23_FStandard,0.9979206188255523
gci12_Rpdp,gci23_Fciip,0.9918577383953945
gci12_Rpdp,gci31_Nstrategy,-0.997573497064
gci12_Rpdp,gci31_Npriority,0.9994196471703644
gci12_Rpdp,gci32_Acyber,0.9999911024748629
gci12_Rpdp,gci32_Aciip,0.9901127749636518
gci12_Rpdp,gci41_AWmsme,-0.9990430385640473
gci12_Rpdp,gci41_AWprivate,-0.9944232265120769
gci12_Rpdp,gci41_AWpublic,-0.9999628272577339
gci12_Rpdp,gci41_AWgeneral,0.9974897380208735
gci12_Rpdp,gci41_AWcop,-0.9922271313328257
gci12_Rpdp,gci41_AWchildren,-0.9999392506151261
gci12_Rpdp,gci42_Tprofessional,-0.9880554629409248
gci12_Rpdp,gci42_Tacreditation,-0.9880554629409248
