alpha,alpha_prime,beta,T,error_alpha,error_beta,GoF_alpha,GoF_beta
0.003969130942583395,2.559810733421417e-06,5.496569254751349e-09,60,-0.0021472071642725243,-0.0175942380454156,0.9823245264967766,0.9814797494258783
0.00899139231793503,7.346799850504838e-07,1.0521193829791938e-08,nan,0.003634599091273283,0.0007786883894179697,0.984088399595316,0.999180328011139
0.010834556324662518,5.207871129234653e-07,6.505799185833022e-09,nan,0.0030843682593520994,0.005680452855669871,0.9902965202421387,0.9940205759414001
0.002824612144856482,3.589386210094633e-08,5.219687136605831e-09,nan,-0.0018255632054666737,-0.010746363994844299,0.9823706673414702,0.9886880379001639
2.1998634899921643e-05,0.003380988518365714,4.996475221180897e-10,nan,-0.002219580627580653,-0.0008004659026713545,0.9882737005152745,0.9839906819465729
1.4860764569722945e-06,0.00858201525741288,2.6893124824593033e-10,nan,0.0040327453072972475,0.0004781697714813793,0.9916319315358838,0.9904366045703724
6.008086443576992e-07,0.00540661075205621,2.931392817993402e-10,nan,8.446501744863166e-05,0.00022874514533050005,0.9997239681319524,0.99542509709339
0.002035286397356913,1.5339787044137596e-10,6.068114634752852e-09,nan,-0.0007014858568792359,-0.01975519200992526,0.9905951890675101,0.979205061042184
0.011254262783602503,2.7880569630754193e-06,1.8717203319174743e-08,nan,-0.0029308876509739346,-0.006683158010717838,0.9860181075586435,0.9929650968308233
0.0012367735560962494,4.3772045610713965e-08,2.018025890335757e-08,nan,7.41565598052496e-05,0.0010117390554738037,0.9966536291784122,0.9989350115205539
0.00046414324503156614,0.0011615743175928356,1.0600558478578054e-09,nan,0.000596582405728574,0.001017680487860391,0.9906708716065196,0.9796463902427922
0.01898147506962384,0.00679383326228486,4.0264615916897375,nan,-0.009242138547691958,-0.007057480606353361,0.990757861452308,0.9925710730459438
0.018721241450238017,1.8831716999275127e-05,3.663181747890034e-11,nan,-0.0024697237046893417,0.0007423998384702424,0.9947957926593267,0.9992185264858208
0.01881146931362536,6.636502885407364e-05,2.164368050690107e-11,nan,0.004064183032842061,0.005591224054288135,0.9910694611899872,0.9941145009954862
0.00718072262475806,0.0022418337489363283,2.451639998022104,nan,-0.002579829588019278,-0.007544146769236648,0.9922542727918758,0.9920587928744877
0.00728217743420423,0.0020454694599932066,2.844691470951117,nan,-0.0040384995228788245,-0.007989639790469294,0.9875997544187055,0.9915898528521376
